DEPT_ID,STATE_NAME
KH-16,Rôtânôkiri
KH-11,Môndól Kiri
KH-10,Krâchéh
KH-3,Kâmpóng Cham
KH-20,Svay Rieng
KH-14,Prey Vêng
KH-8,Kândal
KH-21,Takêv
KH-7,Kâmpôt
KH-22,Otdar Mean Chey
KH-13,Preah Vihéar
KH-17,Siemréab
KH-1,Bântéay Méanchey
KH-9,Kaôh Kong
KH-15,Pouthisat
KH-2,Batdâmbâng
KH-24,Krong Pailin
KH-19,Stœng Trêng
KH-18,Krong Preah Sihanouk
KH-23,Kep
KH-4,Kâmpóng Chhnang
KH-6,Kâmpóng Thum
KH-5,Kâmpóng Spœ
KH-12,Phnom Penh
